"# Dubai buildings by registered sales 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-23. Free to republish with attribution and a link to https://data.tex.ae"
project,area,sales,median_psf,median_price,offplan_share
Celesto Tower,DUBAI LAND RESIDENCE COMPLEX,117,1394,609443,1.0
LAKESIDE,DUBAI PRODUCTION CITY,115,1040,410000,0.0
YIGO26,INTERNATIONAL CITY PH 1,113,1167,861875,1.0
Hayat 1 ,MADINAT AL MATAAR,113,1448,4800000,1.0
Grand Polo - Equestra,DUBAI INVESTMENT PARK SECOND,111,2088,4800888,0.766
Laguna Residence,CITY OF ARABIA,110,1630,1192655,1.0
368 Park Ln,JUMEIRAH VILLAGE CIRCLE,109,1384,1086000,1.0
Arisha Terraces ,DUBAI STUDIO CITY,108,1591,1116470,1.0
Rise by Athlon 2,WADI AL SAFA 5,108,1677,2305849,1.0
One by Binghatti ,BUSINESS BAY,108,2649,2762499,1.0
LIVING LEGENDS PHASE 6,LIVING LEGENDS,107,1157,1750000,0.86
311 Boulevard by Bam Eskan,JUMEIRAH VILLAGE CIRCLE,107,1353,1172716,1.0
AUM 99 Residences,DUBAI LAND RESIDENCE COMPLEX,107,1525,524786,1.0
SERENIA DISTRICT - EAST,AL THANYAH FIFTH,106,2609,3738500,1.0
EMPIRE LAKEVIEWS,LIWAN,106,1660,1082277,1.0
ENSO JADE,AL SATWA,105,2153,1623250,1.0
EMPIRE GARDENS,DUBAI LAND RESIDENCE COMPLEX,105,1624,1219777,1.0
LIV OCEANSIDE,PALM DEIRA,105,3160,3959548,1.0
TONINO LAMBORGHINI RESIDENCES,BUSINESS PARK,105,2561,2988346,1.0
ELEVE BY DEYAAR,DOWN TOWN JABAL ALI,105,1337,1557244,1.0
 The Wilds Residences,WADI AL SAFA 3,104,1805,1770824,1.0
South Lofts by Premier Choice,DUBAI INDUSTRIAL CITY,103,1335,459080,1.0
Soulever' By Beyond,MADINAT DUBAI ALMELAHEYAH,103,3770,3815000,1.0
Seventh Heaven - Ashjar,AL BARARI,103,1738,1954467,0.0
butterfly,ARJAN,102,1627,1404184,1.0
Sky Gate Tower,JUMEIRAH VILLAGE TRIANGLE,102,1614,685473,1.0
COVE EDITION RESIDENCE 6 BY IMTIAZ,DUBAI LAND RESIDENCE COMPLEX,101,1678,757159,1.0
Binghatti Flare 02,JUMEIRAH VILLAGE TRIANGLE,99,1746,1358999,1.0
Binghatti Elite,DUBAI PRODUCTION CITY,99,1542,580000,1.0
FLOAREA OASIS,DUBAI LAND RESIDENCE COMPLEX,99,1441,921500,1.0
Samana Hills South 3,DUBAI INDUSTRIAL CITY,98,1449,946722,1.0
LAYA COURTYARD,DUBAI STUDIO CITY,97,1549,1066227,1.0
AZIZI NEILA,AL FURJAN,96,1599,574500,1.0
Taormina Village 1 ,WADI AL SAFA 3,96,2391,2067500,1.0
Binghatti Amberhall,JUMEIRAH VILLAGE CIRCLE,96,1924,925000,1.0
Beverly Grande,MOTOR CITY,96,1590,1109046,1.0
RYAH LIVING by ALYAKKA,DUBAI STUDIO CITY,96,1642,674480,1.0
The EDGE,BUSINESS BAY,96,2422,1500000,1.0
Waada - Altura 2,MADINAT AL MATAAR,95,1184,862000,1.0
Ashley Hills,ARJAN,95,1510,824812,1.0
Samana Business Hub,DOWN TOWN JABAL ALI,95,1919,1583255,1.0
DAMAC TOWERS BY PARAMOUNT,BUSINESS BAY,95,1434,1530000,0.0
Lumena by Omniyat,BUSINESS BAY,95,5842,28485088,1.0
The Caden By Prescott,HORIZON,94,2275,1963930,1.0
OMYA RESIDENCES,JABAL ALI FIRST,94,1702,687423,1.0
DAMAC LAGOONS - PORTOFINO,AL HEBIAH FIFTH,94,1598,2787500,0.0
Silva,AL KHAIRAN FIRST,93,2207,3129030,1.0
ROSEWELL,AL YELAYISS 2,93,1778,1588888,1.0
THE FIELDS AT D11 - MBRMC,THE FIELD,92,1613,3767500,0.0
DAMAC HILLS - CARSON ,DAMAC HILLS,92,1364,572500,0.0
One Beverly,ARJAN,91,1672,750000,1.0
burj capital ,BUSINESS BAY,90,3598,3381600,1.0
Azizi Riviera Beachfront,MEYDAN ONE,89,2111,839800,0.011
TOWN SQUARE ZAHRA,TOWN SQUARE,89,1245,1200000,0.0
DAMAC RIVERSIDE VIEWS - CAPRI 2,DUBAI INVESTMENT PARK SECOND,89,1494,1325250,1.0
31 Above By Beyond,MADINAT DUBAI ALMELAHEYAH,89,3711,10658000,1.0
THE POLO RESIDENCE,MEYDAN AVENUE,89,1523,2474994,0.0
Binghatti Hillviews,DUBAI SCIENCE PARK,89,1741,891000,1.0
SOL LUXE,TRADE CENTER FIRST,89,3471,3070000,1.0
Grand Polo - Equiterra 2,DUBAI INVESTMENT PARK SECOND,89,2078,3538888,1.0
DAMAC RIVERSIDE VIEWS - CAPRI 1 ,DUBAI INVESTMENT PARK SECOND,88,1456,1425500,1.0
"The St. Regis Residences, Downtown Dubai",BURJ KHALIFA,88,3112,3800000,1.0
Binghatti Hills ,DUBAI SCIENCE PARK,88,1804,1759374,1.0
" QASR SABAH I , II ,III ",DUBAI PRODUCTION CITY,88,728,446709,0.0
Golf Trails,MADINAT AL MATAAR,87,1710,1284888,1.0
Golf Terrace Residences By ASAK,DUBAI PRODUCTION CITY,87,1442,730000,1.0
Sobha Creek Vistas,SOBHA HEARTLAND,86,1877,1167500,0.0
EMBER AT PARK FIVE,DUBAI PRODUCTION CITY,86,1336,1116574,1.0
Samana Sky Views,DUBAI PRODUCTION CITY,86,1473,1104540,1.0
BAY SQUARE,BUSINESS BAY,86,2521,4354982,0.0
Azizi Ruby ,JUMEIRAH VILLAGE CIRCLE,85,1715,667000,1.0
ELM AT PARK FIVE,DUBAI PRODUCTION CITY,85,1331,1078094,1.0
DAMAC LAGOONS - COSTA BRAVA (1),AL HEBIAH FIFTH,84,1713,3000000,0.0
Sobha Solis,MOTOR CITY,84,2020,1401195,1.0
The Valley - Ovelle,AL YUFRAH 1,84,1217,7294888,0.0
Sobha SkyParks,BUSINESS BAY,83,4250,3611164,1.0
ALTA VIEW SKYHOMES,JUMEIRAH VILLAGE CIRCLE,82,1607,1198605,1.0
Waada - Cascada 2,MADINAT AL MATAAR,82,1138,871000,1.0
Azizi Milan 53,CITY OF ARABIA,82,1739,623000,1.0
ONE RIVER POINT,BUSINESS BAY,82,2640,3643328,1.0
SUNSET BAY GRAND BY IMTIAZ,PALM DEIRA,82,2304,2398620,1.0
Verdana 3,DUBAI INVESTMENT PARK FIRST,81,1175,1318481,1.0
Zenith Residences,INTERNATIONAL CITY PH 2 & 3,81,1060,869505,1.0
Binghatti Ruby,JUMEIRAH VILLAGE CIRCLE,81,1915,1498749,1.0
Binghatti Haven ,DUBAI SPORTS CITY,81,1456,1729999,1.0
Soul by vision,DUBAI PRODUCTION CITY,81,1172,951900,1.0
Bayz 102 By Danube ,BUSINESS BAY,81,2933,3167100,1.0
Samana IBIZA,DUBAI LAND RESIDENCE COMPLEX,81,1426,1078411,1.0
BELGRAVIA GARDENS,FALCON CITY OF WONDERS,81,1596,1762828,1.0
TORINO BY ORO24,ARJAN,80,1673,840000,0.0
Serra,WADI AL SAFA 4,80,1888,1369150,1.0
DAMAC LAGOONS - MALTA (1),AL HEBIAH FIFTH,80,1611,2616250,0.0
Samana South Haven,DUBAI INDUSTRIAL CITY,80,1626,664000,1.0
Samana Parkville,DUBAI LAND RESIDENCE COMPLEX,80,1486,1129000,1.0
Hayat 6,MADINAT AL MATAAR,80,1425,5125000,1.0
AL KHAIL HEIGHTS,AL KHAIL HEIGHTS,79,934,890000,0.0
Greenz By Danube,AL ROWAIYAH FIRST,79,2826,4300650,1.0
Rivo,DUBAI LAND RESIDENCE COMPLEX,79,1227,1016000,1.0
Verdana 5,DUBAI INVESTMENT PARK FIRST,79,1213,1417000,1.0
Takaya ,MOTOR CITY,79,1908,2401046,1.0
Timez By Danube,SILICON OASIS,79,1842,1497680,1.0
The central downtown ,ARJAN,79,1425,1098772,1.0
Azizi Sikander,AL FURJAN,78,1771,582500,1.0
Samana Barari Avenue,MAJAN,78,1843,1892970,1.0
The Residences at the Dubai Beach Edition,MARSA DUBAI,78,4945,11713072,1.0
Binghatti Phoenix,JUMEIRAH VILLAGE CIRCLE,78,1543,1200000,0.013
Rabdan Gardens,AL SATWA,78,2217,1059195,1.0
Sobha Creek Vistas Heights,AL MERKADH,77,2076,1630000,1.0
AZIZI VENICE 4,MADINAT AL MATAAR,77,1671,750000,1.0
Azizi Central ,AL FURJAN,77,1172,1572250,0.701
AYKON CITY ,BUSINESS BAY,77,1550,950000,0.0
Avenue Park Towers,AL KIFAF,77,2339,2703777,1.0
Binghatti Skyrise,BUSINESS BAY,77,2577,1424999,1.0
AHS TOWER,TRADE CENTER SECOND,77,4776,22285000,1.0
Al Haseen Residence 4,DUBAI INDUSTRIAL CITY,77,1455,566626,1.0
Rukan 3,WADI AL SAFA 7,76,1669,1052500,0.0
"No.17, No.18a,No.18b and No.19 Citywalk Residential ",CITY WALK,75,2664,4899966,0.0
15 CASCADE,MOTOR CITY,75,1854,1575407,1.0
NEEM AT PARK FIVE ,DUBAI PRODUCTION CITY,75,1335,1113322,1.0
Verdana Residence 10,DUBAI INVESTMENT PARK FIRST,75,1196,812400,1.0
SKYZ By Danube,ARJAN,75,1518,750000,0.0
DAMAC HILLS - GOLF GREENS 2,DAMAC HILLS,75,1661,1734000,1.0
OXBRIDGE GARDENS,JUMEIRAH VILLAGE CIRCLE,74,891,750000,0.0
Eden House The Park,AL WASL,74,3890,9058806,1.0
Pinewood Estate Homes,ME'AISEM FIRST,74,2375,6037777,0.0
Sobha Orbis,MOTOR CITY,74,2090,1867291,1.0
The First Collection at Dubai Studio City,DUBAI STUDIO CITY,74,3550,1051650,1.0
Divine Al Barari,MAJAN,74,1373,1125545,1.0
Azizi Riviera 50,MEYDAN ONE,73,2309,1702716,1.0
Regalia,BUSINESS BAY,73,1779,1250000,0.781
Peace Lagoons by Peace Homes,DUBAI LAND RESIDENCE COMPLEX,73,1489,1091098,1.0
The Valley - Orania,AL YUFRAH 1,73,1418,2780000,0.0
Binghatti Royale,JUMEIRAH VILLAGE CIRCLE,73,1610,1500000,0.0
MARQUIS HORIZON,DUBAI SOUTH,73,1579,1268316,1.0
Hayat 4 ,MADINAT AL MATAAR,73,1327,4710000,1.0
RIVERTON HOUSE,HORIZON,73,2718,2266828,1.0
Tresora by Wadan,JUMEIRAH VILLAGE CIRCLE,72,1473,932241,1.0
Oakyard Residences,JUMEIRAH VILLAGE CIRCLE,72,1446,1009140,1.0
The Hamilton,AL YELAYISS 2,72,1372,1467500,0.0
BURJ KHALIFA TOWERS,BURJ KHALIFA,72,2883,4650000,0.0
Azizi Riviera Reve,MEYDAN ONE,71,2966,2706075,1.0
Aura,AL HEBIAH FOURTH,71,2563,4999000,0.0
Binghatti Pinnacle,DUBAI HEALTHCARE CITY - PHASE 2,71,2140,2459999,0.93
Biltmore Sufouh,SUFOUH GARDENS,71,2582,2897100,1.0
HOLLAND GARDENS ,AL YELAYISS 2,71,1435,1485000,0.0
Azizi Riviera 49,MEYDAN ONE,70,2316,1097910,1.0
Floarea Skies,JUMEIRAH VILLAGE CIRCLE,70,1507,1188010,1.0
KHK 31,DUBAI LAND RESIDENCE COMPLEX,70,1581,606000,1.0
Verdana 6,DUBAI INVESTMENT PARK FIRST,70,1181,1444150,1.0
Reem by vision,LIWAN,70,1145,896600,1.0
AURA PRESTIGE,SILICON OASIS,69,1281,1568725,1.0
The First Collection at Dubai Sports City,DUBAI SPORTS CITY,69,3491,1075000,1.0
Montiva,AL KHAIRAN FIRST,68,2508,2817888,1.0
ELTIERA HEIGHTS,JUMEIRAH HEIGHTS,68,2520,2638828,1.0
INTERNATIONAL CITY EMARATI,INTERNATIONAL CITY PH 1,68,651,390000,0.0
NEST,INTERNATIONAL CITY PH 2 & 3,68,1054,718204,1.0
DAMAC HILLS (2) - VIRIDIS ,MADINAT HIND 4,67,1012,507860,0.0
Celesto Tower 2,DUBAI LAND RESIDENCE COMPLEX,67,1473,783806,1.0
PEACE AVENUE BY PEACE HOMES,DOWN TOWN JABAL ALI,67,1133,525000,1.0
Binghatti Skyblade,BURJ KHALIFA,66,3929,3499999,1.0
