"# Dubai tenancy contracts expiring within 90 days, by building - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-26. Free to republish with attribution and a link to https://data.tex.ae"
project,area,exp_30,exp_60,exp_90,median_expiring_rent,median_new_let_rent
Hadley Heights,AL BARSHA SOUTH FOURTH,0,1,5,91200,75000
Azizi Riviera 44,AL MERKADH,2,5,5,47650,45000
OXFORD BOULEVARD,AL BARSHA SOUTH FOURTH,3,4,5,70000,55500
One Za'abeel,ZAABEEL FIRST,3,4,5,630000,430000
SOLITAIRE CASCADES,WADI AL SAFA 5,0,3,5,54400,62000
DAMAC HILLS (2) - AMARGO ,MADINAT HIND 4,1,3,5,77000,82000
PALLADIUM,AL THANYAH FIFTH,1,2,5,115000,102500
Azizi Riviera 47,AL MERKADH,2,3,5,47250,60000
STALLION TOWER,AL BARSHA SOUTH FOURTH,1,3,5,132000,85000
CORAL RESIDENCE,NADD HESSA,3,4,5,51000,58000
PG UPPERHOUSE,JABAL ALI FIRST,0,3,5,75000,75000
ARIYANA,MARSA DUBAI,1,2,5,155000,162500
U-BORA TOWERS,BUSINESS BAY,1,2,5,90000,85000
Azizi Riviera 5,AL MERKADH,4,4,5,78000,50000
Azizi Riviera 9,AL MERKADH,0,2,5,52000,44000
Azizi Shaista Residence,JABAL ALI FIRST,1,2,5,47000,49000
AL MANARAH TOWER,AL BARSHA SOUTH FIFTH,2,2,5,35000,50135
CLAYTON RESIDENCY,BUSINESS BAY,0,1,5,67560,70000
LE GRAND CHATEAU,AL BARSHA SOUTH FOURTH,0,3,5,60000,64000
BAHWAN TOWER ,BURJ KHALIFA,1,4,5,165000,132370
CHAMPIONS TOWER1,AL HEBIAH FOURTH,2,4,5,53000,42500
Palace Residences - North,AL KHAIRAN FIRST,0,2,5,165000,138000
Park Field,HADAEQ SHEIKH MOHAMMED BIN RASHID,1,2,5,150000,138000
Emirates Living - Springs 14,AL THANAYAH FOURTH,1,3,5,181335,200000
The Terraces,AL MERKADH,1,3,5,150000,112500
Park ville 07,WARSAN FOURTH,1,3,5,37000,40000
SIDRA,HADAEQ SHEIKH MOHAMMED BIN RASHID,0,0,5,480000,469666
 DAMAC HILLS (2)  - SANCTNARY,MADINAT HIND 4,1,3,5,100000,105000
HUB CANAL 1 TOWER,AL HEBIAH FOURTH,3,3,5,48000,55750
SEASONS COMMUNITY- AUTUMN,AL BARSHA SOUTH FOURTH,2,4,5,52500,50000
Peninsula Five,BUSINESS BAY,4,5,5,110674,130000
Peninsula One,BUSINESS BAY,0,2,5,135000,112500
AVENUE RESIDENCE1,JABAL ALI FIRST,1,2,5,95000,90000
Port de La Mer - La Cote,JUMEIRAH FIRST,2,3,5,165530,160000
SANDOVAL GARDENS,AL BARSHA SOUTH FOURTH,1,2,5,55000,51500
LINCOLN PARK(WEST SIDE & LINCOLN PARK - B),AL BARSHAA SOUTH THIRD,0,5,5,40000,42000
SAHARA MEADOWS1,SAIH SHUAIB 2,3,4,5,79000,80000
LIV RESIDENCE,MARSA DUBAI,2,4,5,140000,120000
QPOINT LIWAN-PLOT R047,WADI AL SAFA 2,1,4,5,55000,49866
La Rosa 3,WADI AL SAFA 5,1,4,5,160000,165000
TUSCAN RESIDENCES1 - SIENA,AL BARSHA SOUTH FOURTH,0,3,5,55000,50000
ROXANA RESIDENCE ,AL BARSHA SOUTH FOURTH,0,2,5,60000,60000
Binghatti Creek,AL JADAF,1,2,5,80000,70000
WESTERN RESIDENCE - SOUTH,WADI AL SAFA 2,2,4,5,200000,200000
REEM-MIRA COMMUNITY PH 3,AL YELAYISS 1,0,3,5,170000,165000
REEM TOWNHOUSES,AL YELAYISS 2,1,4,5,150790,150000
REEM-MIRA COMMUNITY PH 1,AL YELAYISS 1,0,2,5,156492,169906
Laya Mansion,AL BARSHA SOUTH FOURTH,3,3,5,60460,45000
JUMEIRAH PARK 7B&C,AL THANYAH FIFTH,1,3,5,287500,305000
THE SUSTAINABLE CITY,WADI AL SAFA 7,1,4,5,217350,282500
THE SQUARE ,AL BARSHA SOUTH FOURTH,1,4,5,59947,45000
VIDA Residences Dubai Marina,MARSA DUBAI,1,3,5,315000,190000
2020 Marquis,AL BARSHAA SOUTH THIRD,5,5,5,70000,70000
DUBAI WATER FRONT VENETO,HESSYAN FIRST,2,2,5,160650,217000
DUBAI STAR,AL THANYAH FIFTH,1,2,5,81500,73500
Jewelz Residence,AL BARSHAA SOUTH THIRD,2,3,5,54000,45000
THE RESIDENCES AT MARINA GATE 1,MARSA DUBAI,0,2,5,228729,155000
MANHATTAN,AL BARSHA SOUTH FOURTH,0,2,5,58000,55000
ACACIA AT PARK HEIGHTS,HADAEQ SHEIKH MOHAMMED BIN RASHID,1,5,5,120000,166500
THE ONE JBR,MARSA DUBAI,0,2,5,635000,328177
Azizi  Riviera 34  ,AL MERKADH,0,1,5,68000,49527
QPOINT LIWAN-PLOT R052,WADI AL SAFA 2,3,3,4,73250,58000
HUB CANAL 2 TOWER,AL HEBIAH FOURTH,1,3,4,60858,63000
Emirates Living - Springs 8,AL THANAYAH FOURTH,2,3,4,194650,190000
Emirates Living - Springs 5,AL THANAYAH FOURTH,1,1,4,158000,225000
Emirates Living - Springs 4,AL THANAYAH FOURTH,1,2,4,205000,205500
JASMINE LANE,ME'AISEM FIRST,2,4,4,281023,277500
JUMEIRAH HEIGHTS CLUSTERS,AL THANYAH FIFTH,1,2,4,237500,200000
JUMEIRAH PARK - PACKAGE 5A,AL THANYAH FIFTH,1,2,4,335000,325000
K1,WADI AL SAFA 5,1,2,4,39000,36500
LA FONTANA DI TREVI,AL BARSHAA SOUTH THIRD,2,2,4,76650,64000
LA VISTA 05,NADD HESSA,2,2,4,59126,77000
Emirates Hills,AL THANAYAH FOURTH,1,2,4,1759874,2600000
Villa Lantana 1,AL BARSHAA SOUTH SECOND,1,3,4,204474,290000
ESCAN MARINA TOWER,MARSA DUBAI,2,2,4,73905,65000
EMIRATES GARDEN II - MAGNOLIA,AL BARSHA SOUTH FOURTH,1,1,4,50008,45000
EMIRATES GARDEN I - ROSE 1,AL BARSHA SOUTH FOURTH,0,1,4,50949,53065
ELITE 7 SPORTS RESIDENCE,AL HEBIAH FOURTH,1,1,4,48510,60000
LINCOLN PARK,AL BARSHAA SOUTH THIRD,1,1,4,49343,41000
LUCKY RESIDENCE,AL BARSHA SOUTH FOURTH,2,4,4,73750,67500
Laya Residences,AL BARSHA SOUTH FOURTH,0,1,4,71000,70000
Divine Living,AL BARSHAA SOUTH THIRD,3,3,4,81000,100000
DUBAI DIGITAL CENTER,AL JADAF,0,2,4,72884,55125
AL JAWZAA,WARSAN FOURTH,0,2,4,31000,35000
DIAMOND VIEWS 1,AL BARSHA SOUTH FOURTH,1,3,4,51650,49255
DEZIRE RESIDENCES,AL BARSHA SOUTH FOURTH,0,3,4,56443,61000
MIRDIF HILLS- AL MULTAQA AVENUE,MIRDIF,0,2,4,75000,70000
MIRDIF HILLS- NASAYEM AVENUE,MIRDIF,1,2,4,125000,105000
DAMAC HILLS - GOLF VISTA,AL HEBIAH THIRD,2,2,4,63850,55400
Maple III,HADAEQ SHEIKH MOHAMMED BIN RASHID,1,2,4,245967,250000
Marquis Signature,AL BARSHAA SOUTH THIRD,4,4,4,93000,82500
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 11",AL MERKADH,2,2,4,181250,155000
"Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 17",AL MERKADH,3,4,4,97500,85000
DAMAC HILLS - GOLF PANORAMA,AL HEBIAH THIRD,0,2,4,56500,80000
DAMAC HILLS (2) - VICTORIA ,MADINAT HIND 4,0,1,4,84500,80000
NOBLES,BUSINESS BAY,1,3,4,127648,106000
NOORA RESIDENCE 1,AL BARSHA SOUTH FOURTH,1,1,4,64000,52000
O10,AL JADAF,2,3,4,112500,90000
DAMAC HILLS (2) - CENTAURY ,MADINAT HIND 4,1,1,4,97000,100000
ONTARIO TOWER,BUSINESS BAY,0,3,4,82500,70000
OXFORD RESIDENCE 2,AL BARSHA SOUTH FOURTH,1,2,4,45560,52000
Opalz By Danube,AL BARSHAA SOUTH SECOND,1,1,4,71000,60000
PARAMOUNT TOWER HOTEL & RESIDENCES,BUSINESS BAY,2,2,4,122500,150000
Creek Palace,AL KHAIRAN FIRST,2,4,4,210137,126500
CONDOR CLASSIC,AL BARSHA SOUTH FOURTH,1,2,4,55000,60000
AL HELAL AL ZAHABY BUILDING,WARSAN FOURTH,0,3,4,39217,37500
CONCORDE TOWER,AL THANYAH FIFTH,2,2,4,76500,69000
CLASSIC APARTMENTS,AL WARSAN FIRST,2,4,4,41100,46640
Park Heights I ,HADAEQ SHEIKH MOHAMMED BIN RASHID,0,0,4,91500,93250
Park Point,HADAEQ SHEIKH MOHAMMED BIN RASHID,2,3,4,132368,139000
CELIA RESIDENCE,AL HEBIAH SECOND,2,3,4,45380,54000
Burj Sabah,AL BARSHA SOUTH FOURTH,2,3,4,71000,65000
Prime Residency 3,JABAL ALI FIRST,1,4,4,54500,46000
Burj Crown,BURJ KHALIFA,1,3,4,125000,130000
QPOINT LIWAN-PLOT R017,WADI AL SAFA 2,0,0,4,40424,52000
WEST AVENUE,MARSA DUBAI,3,4,4,85794,81500
QPOINT LIWAN-PLOT R050,WADI AL SAFA 2,0,1,4,36850,47000
QPOINT LIWAN-PLOT R055,WADI AL SAFA 2,0,2,4,44904,50000
QPOINT LIWAN-PLOT R069,WADI AL SAFA 2,2,2,4,55500,45000
Binghatti Emerald,AL BARSHA SOUTH FOURTH,0,2,4,67500,66000
Binghatti Crest,AL BARSHA SOUTH FOURTH,0,2,4,72500,65000
Binghatti Crescent ,AL BARSHA SOUTH FOURTH,1,1,4,103000,75000
ROYAL AMWAJ,PALM JUMEIRAH,1,2,4,149840,140000
ROYAL OCEANIC TOWER,MARSA DUBAI,1,3,4,72500,80000
RUBY RESIDENCE,NADD HESSA,1,2,4,54500,58000
BURJ AL NUJOOM,BURJ KHALIFA,1,3,4,63800,56000
Rigel,AL BARSHA SOUTH FOURTH,1,4,4,63741,72000
BINGHATTI STARS,NADD HESSA,1,2,4,51821,48000
BINGHATTI APARTMENTS,NADD HESSA,2,4,4,46500,60000
SEVANAM CROWN,NADD HESSA,1,1,4,37740,47000
SHAMS TOWNHOUSES,AL YELAYISS 2,1,3,4,162500,158750
BANYAN TREE RESIDENCES HILLSIDE DUBAI,AL THANYAH FIFTH,1,3,4,128125,152500
